,Date,ca_mnt,ca_fx,mnt_usd,ca_fx_usd,mnt_usd_000,ca_mnt_000,ca_fx_usd_000,ca_fx_000
132,2015-01,1062980.96,1169584.47,1944.78,601.3968006663993,1.94478,1.06298096,1.8041904019991977,1.16958447
133,2015-02,1084507.45,1083577.38,1974.52,548.780149099528,1.97452,1.08450745,1.6463404472985839,1.08357738
134,2015-03,995175.26,1064706.68,1984.69,536.4599408471852,1.98469,0.99517526,1.6093798225415554,1.06470668
135,2015-04,1037327.14,1001162.59,1960.41,510.6904116995934,1.96041,1.03732714,1.5320712350987802,1.00116259
136,2015-05,1100037,932465.46,1907.32,488.8877901977644,1.90732,1.100037,1.4666633705932932,0.93246546
137,2015-06,1172932.86,1010196.56,1963.56,514.4719590947055,1.96356,1.1729328600000002,1.5434158772841167,1.01019656
138,2015-07,1140770.6,1003617.98,1985.06,505.5857152932405,1.98506,1.1407706000000002,1.5167571458797213,1.00361798
139,2015-08,1173874.73,1056294.18,1991.49,530.403958844885,1.99149,1.17387473,1.591211876534655,1.0562941799999999
140,2015-09,1160401.35,1035975.18,1996.83,518.8099036973604,1.9968299999999999,1.16040135,1.556429711092081,1.03597518
141,2015-10,1125626.56,981510.33,1991.67,492.8077091084366,1.99167,1.1256265600000002,1.4784231273253097,0.98151033
142,2015-11,1093678.56,1004166.63,1994.83,503.38456409819383,1.9948299999999999,1.09367856,1.5101536922945815,1.00416663
143,2015-12,1115613.92,940419.09,1995.51,471.26754062871146,1.99551,1.11561392,1.4138026218861344,0.94041909
144,2016-01,1050918.94,934908.86,2011.38,464.8096630174308,2.01138,1.0509189399999999,1.3944289890522925,0.93490886
145,2016-02,991396.92,1030889.28,2032.47,507.2100842816868,2.03247,0.99139692,1.5216302528450605,1.03088928
146,2016-03,1083927.92,941767.58,2048.9,459.64545853872806,2.0489,1.0839279199999998,1.3789363756161843,0.9417675799999999
147,2016-04,1113801.79,1044898.16,2011.84,519.3743836487992,2.01184,1.1138017900000001,1.5581231509463975,1.04489816
148,2016-05,1181182.25,1135407.67,1988.53,570.9783961016429,1.98853,1.18118225,1.7129351883049289,1.13540767
149,2016-06,1373811.57,1030462.37,1982.25,519.8448076680539,1.98225,1.37381157,1.559534423004162,1.03046237
150,2016-07,1333388.24,1146319.51,2073.09,552.9521197825468,2.07309,1.33338824,1.6588563593476402,1.14631951
151,2016-08,1339800.3,1268821.51,2219.65,571.631342779267,2.21965,1.3398003,1.714894028337801,1.26882151
152,2016-09,1417280.56,1286622.67,2287.3,562.5071787697284,2.2873,1.41728056,1.6875215363091853,1.2866226699999999
153,2016-10,1460980.5,1232996.18,2374.21,519.3290315515476,2.37421,1.4609805,1.557987094654643,1.23299618
154,2016-11,1354190.81,1518101.9,2466.64,615.4533697661597,2.46664,1.35419081,1.846360109298479,1.5181019
155,2016-12,1510795.3,1369357.69,2489.53,550.0466714600748,2.4895300000000002,1.5107953,1.6501400143802245,1.36935769
156,2017-01,1450114.27,1323657.21,2459.44,538.1945524184367,2.45944,1.45011427,1.6145836572553103,1.32365721
157,2017-02,1458784.54,1312359.6,2470.83,531.1411954687292,2.47083,1.4587845400000001,1.5934235864061876,1.3123596000000002
158,2017-03,1513261.72,1314174.19,2447.45,536.9565016649983,2.44745,1.51326172,1.6108695049949948,1.31417419
159,2017-04,1647739.28,1281478.84,2419.42,529.6636549255606,2.41942,1.64773928,1.588990964776682,1.2814788400000001
160,2017-05,1771970.42,1323295.3,2397.97,551.839806169385,2.39797,1.77197042,1.655519418508155,1.3232953
161,2017-06,1992487.15,1279373.25,2349.87,544.4442671296711,2.3498699999999997,1.9924871499999999,1.6333328013890132,1.27937325
162,2017-07,1875709.2,1605137.17,2444.95,656.511245628745,2.44495,1.8757092,1.969533736886235,1.60513717
163,2017-08,2033033.76,1717570.94,2430.05,706.8047735643298,2.43005,2.03303376,2.1204143206929893,1.7175709399999999
164,2017-09,2095261.54,1892726.77,2464.43,768.0180690869695,2.4644299999999997,2.09526154,2.3040542072609083,1.8927267700000001
165,2017-10,1968312.39,1551698.07,2456.17,631.7551594555752,2.45617,1.96831239,1.8952654783667255,1.55169807
166,2017-11,1994304.67,1552816.9,2443.57,635.4706024382358,2.4435700000000002,1.99430467,1.9064118073147074,1.5528168999999998
167,2017-12,2113892.02,1757888.4,2427.13,724.2662733351735,2.42713,2.11389202,2.1727988200055206,1.7578884
168,2018-01,1984940.47,1969736.31,2417.71,814.7115700394174,2.41771,1.98494047,2.4441347101182522,1.96973631
169,2018-02,2084271.22,1729150.49,2394.23,722.2156977399832,2.39423,2.0842712199999998,2.1666470932199493,1.72915049
170,2018-03,2122669.85,1796472.6,2392.77,750.7920109329356,2.39277,2.1226698500000003,2.2523760327988067,1.7964726000000002
171,2018-04,2163362.65,1842798.53,2402.86,766.9188092523076,2.40286,2.16336265,2.300756427756923,1.84279853
172,2018-05,2373994.15,2194042.47,2409.8,910.4666237862064,2.4098,2.3739941499999997,2.731399871358619,2.1940424700000003
173,2018-06,2608203.25,2133904.64,2462.82,866.4476656840533,2.4628200000000002,2.60820325,2.59934299705216,2.1339046400000004
174,2018-07,2321925.91,1990132.88,2463.25,807.92971886735,2.46325,2.32192591,2.4237891566020497,1.99013288
175,2018-08,2462049.06,2057702.34,2472.99,832.0706270546991,2.47299,2.46204906,2.4962118811640974,2.05770234
176,2018-09,2622872.66,2199806.31,2552.13,861.9491601133171,2.55213,2.62287266,2.585847480339951,2.19980631
177,2018-10,2539985.83,2324654.55,2564.44,906.4959796290807,2.5644400000000003,2.53998583,2.719487938887242,2.32465455
178,2018-11,2670262.69,2455136.58,2627.04,934.5638361045131,2.62704,2.67026269,2.8036915083135394,2.45513658
179,2018-12,3158536.72,2164341.76,2643.69,818.682129901766,2.64369,3.1585367200000003,2.456046389705298,2.1643417599999997
180,2019-01,2877926.7,2105721.67,2628.7,801.050583938829,2.6287,2.8779267,2.403151751816487,2.10572167
181,2019-02,2780578.28,2000642.95,2635.33,759.1622111841781,2.6353299999999997,2.78057828,2.277486633552534,2.00064295
182,2019-03,2946108.93,1930364.74,2631.51,733.5578204148948,2.63151,2.9461089300000003,2.2006734612446843,1.93036474
183,2019-04,2934208.63,2340684.44,2642.78,885.6902352825433,2.64278,2.93420863,2.65707070584763,2.34068444
184,2019-05,3024150.81,2236182.23,2649.35,844.0493819238682,2.64935,3.02415081,2.5321481457716044,2.23618223
185,2019-06,3340824.73,2222227.98,2657.76,836.1281605562579,2.65776,3.34082473,2.5083844816687737,2.22222798
186,2019-07,2938212.47,2638259.32,2666,989.5946436609152,2.666,2.9382124700000003,2.9687839309827457,2.63825932
187,2019-08,3166362.01,2740725.45,2672,1025.7206025449102,2.672,3.16636201,3.0771618076347305,2.7407254500000002
188,2019-09,3065413.07,2903666.22,2667.21,1088.6530194472878,2.66721,3.06541307,3.265959058341863,2.9036662200000003
189,2019-10,3400357.2,2495499.1,2701.17,923.8585872048038,2.7011700000000003,3.4003572,2.7715757616144114,2.4954991
190,2019-11,3201128.47,2490208.61,2715.22,917.1295917089592,2.71522,3.20112847,2.7513887751268777,2.49020861
191,2019-12,3129746.82,2318664.04,2734.33,847.9825185694485,2.73433,3.12974682,2.5439475557083453,2.31866404
